# species: Mus musculus
# support: EXP, IMP, ISS, ISM, TAS, IEA, IDA, IGI, ISO, IGC, NAS, IPI, IEP, ISA, RCA, IC
# associations retrieved on: 2015-08-20 00:27:59-04
# gofunc built on: 2014-08-29 20:00:45.229015-04
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/gene_association.mgi.gz
#   revision: 06/05/2014 $
#   downloaded on: 2014-06-23 12:15:18-04
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201404-termdb-tables.tar.gz
#   downloaded on: 2014-04-28 17:00:50-04
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2014-02-26 11:38:08.723614-05
#     synergizer db built from: Ensembl Genes 74 / Ensembl Metazoa Genes 21 / Ensembl Plants Genes 21
#   namespace: mgi_symbol
#   coverage: 100.0%
# size of "genespace": 22607
# number of attributes: 17970
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
# Original number of entities in query: 66180
# Number of entities in query: 13811
# Total number of entities: 24446
# Original total number of entities: 22607
# Entities not in default gene space: 1839
# Total number of attributes: 17970
# Translation required: yes
# Translation coverage: 0.999722
# Mode: unordered
# Number of simulations: 1000
# Adjusted P-value cutoff: 0.05
# Over/under: over
# Evidence codes: EXP, IMP, ISS, ISM, TAS, IEA, IDA, IGI, ISO, IGC, NAS, IPI, IEP, ISA, RCA, IC
OVERREPRESENTED ATTRIBUTES
N	X	LOD	P	P_adj	attrib ID	attrib name
34	34	1.62430390221123	9.39286484941499e-08	<0.001	GO:0031111	negative regulation of microtubule polymerization or depolymerization
53	54	1.3382088438199	2.31584716183744e-10	<0.001	GO:0048259	regulation of receptor-mediated endocytosis
52	53	1.32998603918832	3.66335711626707e-10	<0.001	GO:0034705	potassium channel complex
51	52	1.32160564065463	5.7928516135256e-10	<0.001	GO:0008076	voltage-gated potassium channel complex
47	48	1.2863787430317	3.60801609692323e-09	<0.001	GO:0035335	peptidyl-tyrosine dephosphorylation
46	47	1.2771097713612	5.69392486274095e-09	<0.001	GO:0030315	T-tubule
44	45	1.25796020511859	1.41614432543883e-08	<0.001	GO:0003151	outflow tract morphogenesis
44	45	1.25796020511859	1.41614432543883e-08	<0.001	GO:0048844	artery morphogenesis
43	44	1.24806114169382	2.23174182561644e-08	<0.001	GO:0004712	protein serine/threonine/tyrosine kinase activity
43	44	1.24806114169382	2.23174182561644e-08	<0.001	GO:0007584	response to nutrient
43	44	1.24806114169382	2.23174182561644e-08	<0.001	GO:0060348	bone development
42	43	1.23793250723624	3.5152898532985e-08	<0.001	GO:0032947	protein complex scaffold
69	71	1.23039821026449	1.99287700281094e-12	<0.001	GO:0003705	RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity
41	42	1.22756336818974	5.53413351503333e-08	<0.001	GO:0035137	hindlimb morphogenesis
67	69	1.21766046914197	4.89151466027016e-12	<0.001	GO:0051219	phosphoprotein binding
