# species: Mus musculus
# support: EXP, IMP, ISS, ISM, TAS, IEA, IDA, IGI, ISO, IGC, NAS, IPI, IEP, ISA, RCA, IC
# associations retrieved on: 2015-08-20 00:24:37-04
# gofunc built on: 2014-08-29 20:00:45.229015-04
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/gene_association.mgi.gz
#   revision: 06/05/2014 $
#   downloaded on: 2014-06-23 12:15:18-04
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201404-termdb-tables.tar.gz
#   downloaded on: 2014-04-28 17:00:50-04
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2014-02-26 11:38:08.723614-05
#     synergizer db built from: Ensembl Genes 74 / Ensembl Metazoa Genes 21 / Ensembl Plants Genes 21
#   namespace: mgi_symbol
#   coverage: 100.0%
# size of "genespace": 22607
# number of attributes: 17970
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
# Original number of entities in query: 11689
# Number of entities in query: 7498
# Total number of entities: 23510
# Original total number of entities: 22607
# Entities not in default gene space: 903
# Total number of attributes: 17970
# Translation required: yes
# Translation coverage: 0.999722
# Mode: unordered
# Number of simulations: 1000
# Adjusted P-value cutoff: 0.05
# Over/under: over
# Evidence codes: EXP, IMP, ISS, ISM, TAS, IEA, IDA, IGI, ISO, IGC, NAS, IPI, IEP, ISA, RCA, IC
OVERREPRESENTED ATTRIBUTES
N	X	LOD	P	P_adj	attrib ID	attrib name
10	10	1.65228360336032	1.08430607784205e-05	0.024	GO:0042171	lysophosphatidic acid acyltransferase activity
15	17	1.12269182143645	2.37889548691659e-06	0.002	GO:0032332	positive regulation of chondrocyte differentiation
23	27	1.04856574300974	1.54148024053107e-08	<0.001	GO:0046834	lipid phosphorylation
23	27	1.04856574300974	1.54148024053107e-08	<0.001	GO:0060076	excitatory synapse
20	24	0.989077489625349	2.92544473827523e-07	<0.001	GO:0007257	activation of JUN kinase activity
15	18	0.976536659307112	1.00397874495657e-05	0.011	GO:0005242	inward rectifier potassium channel activity
19	23	0.967300171409242	7.69104801909885e-07	<0.001	GO:0035412	regulation of catenin import into nucleus
17	21	0.920187494974716	5.18035641477044e-06	0.005	GO:0046854	phosphatidylinositol phosphorylation
19	24	0.880122865850134	2.57912545763478e-06	0.002	GO:0018345	protein palmitoylation
17	22	0.833010189415608	1.59683904064267e-05	0.032	GO:0043576	regulation of respiratory gaseous exchange
20	26	0.829322385382548	3.08722453912374e-06	0.003	GO:0008038	neuron recognition
19	25	0.807545067166441	7.50985399217803e-06	0.008	GO:0015932	nucleobase-containing compound transmembrane transporter activity
23	31	0.772250801539871	1.62581258556559e-06	<0.001	GO:0030879	mammary gland development
23	31	0.772250801539871	1.62581258556559e-06	<0.001	GO:0043551	regulation of phosphatidylinositol 3-kinase activity
23	31	0.772250801539871	1.62581258556559e-06	<0.001	GO:0046580	negative regulation of Ras protein signal transduction
20	27	0.767147345403538	8.31354022938682e-06	0.008	GO:0005154	epidermal growth factor receptor binding
22	30	0.753307365554651	3.81607932693499e-06	0.004	GO:0001657	ureteric bud development
19	26	0.745370027187431	1.9497798588384e-05	0.043	GO:0001892	embryonic placenta development
24	33	0.742075307033468	1.75307282778841e-06	<0.001	GO:0005158	insulin receptor binding
23	32	0.723918985344344	4.03603457605952e-06	0.004	GO:0007528	neuromuscular junction development
23	32	0.723918985344344	4.03603457605952e-06	0.004	GO:0051058	negative regulation of small GTPase mediated signal transduction
20	28	0.712762548155481	2.03730173391229e-05	0.045	GO:0043489	RNA stabilization
20	28	0.712762548155481	2.03730173391229e-05	0.045	GO:0048255	mRNA stabilization
43	61	0.702811422270389	6.93988281765356e-10	<0.001	GO:0042060	wound healing
31	44	0.698907964759732	1.7313736945528e-07	<0.001	GO:0043488	regulation of mRNA stability
35	50	0.69100623657195	3.59859024146472e-08	<0.001	GO:0048168	regulation of neuronal synaptic plasticity
21	30	0.685173407107923	2.06709904410307e-05	0.05	GO:1901505	carbohydrate derivative transporter activity
30	43	0.684839096261942	3.86030882517853e-07	<0.001	GO:0032947	protein complex scaffold
23	33	0.68042615324656	9.28513149174168e-06	0.008	GO:0032885	regulation of polysaccharide biosynthetic process
23	33	0.68042615324656	9.28513149174168e-06	0.008	GO:0048169	regulation of long-term neuronal synaptic plasticity
25	36	0.676478997078696	4.18078364245857e-06	0.004	GO:0016358	dendrite development
36	52	0.675949546450801	3.6259526951741e-08	<0.001	GO:0043507	positive regulation of JUN kinase activity
47	68	0.675900646326644	3.26935157482857e-10	<0.001	GO:0005249	voltage-gated potassium channel activity
29	42	0.670303126624401	8.5265564670977e-07	<0.001	GO:1901888	regulation of cell junction assembly
22	32	0.66148271726134	2.05205521389943e-05	0.049	GO:0048008	platelet-derived growth factor receptor signaling pathway
28	41	0.655267832169801	1.86475243715478e-06	<0.001	GO:0006835	dicarboxylic acid transport
32	47	0.652486712216662	3.80869641427694e-07	<0.001	GO:0043487	regulation of RNA stability
25	37	0.64023968271548	8.9753816344478e-06	0.008	GO:0043550	regulation of lipid kinase activity
27	40	0.639697535288495	4.0357193485711e-06	0.004	GO:0005793	endoplasmic reticulum-Golgi intermediate compartment
40	60	0.626966027484037	3.3550458852181e-08	<0.001	GO:0007179	transforming growth factor beta receptor signaling pathway
32	48	0.625307317677577	7.92392011545447e-07	<0.001	GO:0042734	presynaptic membrane
28	42	0.624206453328136	3.88779865976783e-06	0.004	GO:0048286	lung alveolus development
26	39	0.623552592471786	8.63789719261019e-06	0.008	GO:0032881	regulation of polysaccharide metabolic process
24	36	0.622807479276169	1.92394301446652e-05	0.042	GO:0051017	actin filament bundle assembly
24	36	0.622807479276169	1.92394301446652e-05	0.042	GO:0061572	actin filament bundle organization
45	68	0.618418161927891	6.67182861960143e-09	<0.001	GO:0015294	solute:cation symporter activity
33	50	0.612945678703829	7.57386955783698e-07	<0.001	GO:0061035	regulation of cartilage development
63	96	0.609981926371257	1.15371858097548e-11	<0.001	GO:0007265	Ras protein signal transduction
25	38	0.606788783823403	1.82723148866067e-05	0.042	GO:0007215	glutamate receptor signaling pathway
25	38	0.606788783823403	1.82723148866067e-05	0.042	GO:0032330	regulation of chondrocyte differentiation
