# species: Mus musculus
# support: EXP, IMP, ISS, ISM, TAS, IEA, IDA, IGI, ISO, IGC, NAS, IPI, IEP, ISA, RCA, IC
# associations retrieved on: 2015-08-20 00:30:43-04
# gofunc built on: 2014-08-29 20:00:45.229015-04
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/gene_association.mgi.gz
#   revision: 06/05/2014 $
#   downloaded on: 2014-06-23 12:15:18-04
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201404-termdb-tables.tar.gz
#   downloaded on: 2014-04-28 17:00:50-04
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2014-02-26 11:38:08.723614-05
#     synergizer db built from: Ensembl Genes 74 / Ensembl Metazoa Genes 21 / Ensembl Plants Genes 21
#   namespace: mgi_symbol
#   coverage: 100.0%
# size of "genespace": 22607
# number of attributes: 17970
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
# Original number of entities in query: 21060
# Number of entities in query: 9685
# Total number of entities: 23771
# Original total number of entities: 22607
# Entities not in default gene space: 1164
# Total number of attributes: 17970
# Translation required: yes
# Translation coverage: 0.999722
# Mode: unordered
# Number of simulations: 1000
# Adjusted P-value cutoff: 0.05
# Over/under: over
# Evidence codes: EXP, IMP, ISS, ISM, TAS, IEA, IDA, IGI, ISO, IGC, NAS, IPI, IEP, ISA, RCA, IC
OVERREPRESENTED ATTRIBUTES
N	X	LOD	P	P_adj	attrib ID	attrib name
12	12	1.56115947228176	2.0838734611546e-05	0.049	GO:0005161	platelet-derived growth factor receptor binding
12	12	1.56115947228176	2.0838734611546e-05	0.049	GO:2000479	regulation of cAMP-dependent protein kinase activity
19	20	1.27744636499066	4.73382162284659e-07	<0.001	GO:0060317	cardiac epithelial to mesenchymal transition
17	18	1.23035995602875	2.58134341275978e-06	0.001	GO:0007045	cell-substrate adherens junction assembly
17	18	1.23035995602875	2.58134341275978e-06	0.001	GO:0048041	focal adhesion assembly
15	16	1.1775637778105	1.39113769201914e-05	0.032	GO:0006884	cell volume homeostasis
15	16	1.1775637778105	1.39113769201914e-05	0.032	GO:0048841	regulation of axon extension involved in axon guidance
15	16	1.1775637778105	1.39113769201914e-05	0.032	GO:2000008	regulation of protein localization to cell surface
25	27	1.17234200105134	2.27688047272649e-08	<0.001	GO:0060076	excitatory synapse
29	32	1.08964482491373	5.32101596644028e-09	<0.001	GO:0034332	adherens junction organization
20	22	1.07733096135254	1.35923306444577e-06	<0.001	GO:0021952	central nervous system projection neuron axonogenesis
17	19	1.00848037258335	1.50756395612055e-05	0.036	GO:0015800	acidic amino acid transport
17	19	1.00848037258335	1.50756395612055e-05	0.036	GO:0034260	negative regulation of GTPase activity
17	19	1.00848037258335	1.50756395612055e-05	0.036	GO:0046847	filopodium assembly
35	40	0.973964768004806	1.15682216880014e-09	<0.001	GO:0007266	Rho protein signal transduction
28	32	0.965447389323697	5.7805562158973e-08	<0.001	GO:0007528	neuromuscular junction development
28	32	0.965447389323697	5.7805562158973e-08	<0.001	GO:0097581	lamellipodium organization
21	24	0.951901623278607	2.96559721565832e-06	0.001	GO:0018345	protein palmitoylation
21	24	0.951901623278607	2.96559721565832e-06	0.001	GO:0034333	adherens junction assembly
20	23	0.931172089655974	6.40495358405205e-06	0.007	GO:0002040	sprouting angiogenesis
20	23	0.931172089655974	6.40495358405205e-06	0.007	GO:0043647	inositol phosphate metabolic process
25	29	0.917007821721791	5.7337153992494e-07	<0.001	GO:0030032	lamellipodium assembly
25	29	0.917007821721791	5.7337153992494e-07	<0.001	GO:0031952	regulation of protein autophosphorylation
25	29	0.917007821721791	5.7337153992494e-07	<0.001	GO:0048013	ephrin receptor signaling pathway
19	22	0.909407909848699	1.3752590243715e-05	0.03	GO:0023019	signal transduction involved in regulation of gene expression
19	22	0.909407909848699	1.3752590243715e-05	0.03	GO:0045736	negative regulation of cyclin-dependent protein serine/threonine kinase activity
23	27	0.8814456014774	2.58218426693585e-06	0.001	GO:0007044	cell-substrate junction assembly
22	26	0.862515313253868	5.4331158200389e-06	0.004	GO:0043425	bHLH transcription factor binding
41	49	0.852905838745101	7.77758567902847e-10	<0.001	GO:0031594	neuromuscular junction
31	37	0.849285487186821	9.18138847430244e-08	<0.001	GO:0002053	positive regulation of mesenchymal cell proliferation
31	37	0.849285487186821	9.18138847430244e-08	<0.001	GO:0050771	negative regulation of axonogenesis
26	31	0.846577457128866	1.01294164123173e-06	<0.001	GO:0046580	negative regulation of Ras protein signal transduction
26	31	0.846577457128866	1.01294164123173e-06	<0.001	GO:0046875	ephrin receptor binding
21	25	0.842726315645623	1.13598849395509e-05	0.022	GO:0017147	Wnt-protein binding
81	98	0.83392346298389	1.63425912786162e-17	<0.001	GO:0050808	synapse organization
25	30	0.829826805605072	2.09867585217599e-06	<0.001	GO:0021795	cerebral cortex cell migration
25	30	0.829826805605072	2.09867585217599e-06	<0.001	GO:0021955	central nervous system neuron axonogenesis
34	41	0.826750248812584	3.57832608084705e-08	<0.001	GO:0001837	epithelial to mesenchymal transition
79	96	0.823042556689676	6.79465250938199e-17	<0.001	GO:0007265	Ras protein signal transduction
29	35	0.820706991427383	3.90910152039089e-07	<0.001	GO:0051057	positive regulation of small GTPase mediated signal transduction
